,in_nyc,Provider ID,fac_id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
0,FALSE,330013,1,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,5182622400,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"43 NEW SCOTLAND AVENUE, MAIL CODE 34 ALBANY, NY (42.653254, -73.77386)"
1,FALSE,330003,4,ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,ALBANY,5184713490,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"600 NORTHERN BOULEVARD ALBANY, NY (42.674685, -73.748861)"
2,FALSE,330057,5,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,5185251550,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"315 SOUTH MANNING BOULEVARD ALBANY, NY (42.660176, -73.802382)"
3,FALSE,331301,37,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,5859612000,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"140 WEST MAIN STREET CUBA, NY (42.213341, -78.288139)"
4,FALSE,330096,39,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,ALLEGANY,5855931100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"191 NORTH MAIN STREET WELLSVILLE, NY (42.122878, -77.949784)"
5,FALSE,330394,42,"UNITED HEALTH SERVICES HOSPITALS, INC",10-42 MITCHELL AVENUE,BINGHAMTON,NY,13903,BROOME,6077636000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"10-42 MITCHELL AVENUE BINGHAMTON, NY (42.088097, -75.914166)"
6,FALSE,330011,43,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,BROOME,6077985111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"169 RIVERSIDE DRIVE BINGHAMTON, NY (42.09264, -75.935558)"
7,FALSE,330103,66,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,CATTARAUGUS,7163732600,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,"515 MAIN STREET OLEAN, NY (42.089448, -78.426977)"
8,FALSE,330235,85,AUBURN  COMMUNITY  HOSPITAL,17 LANSING STREET,AUBURN,NY,13021,CAYUGA,3152557011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"17 LANSING STREET AUBURN, NY (42.940761, -76.564607)"
9,FALSE,330229,98,BROOKS MEMORIAL HOSPITAL,529 CENTRAL AVENUE,DUNKIRK,NY,14048,CHAUTAUQUA,7163661111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"529 CENTRAL AVENUE DUNKIRK, NY (42.480106, -79.333617)"
10,FALSE,330239,103,UPMC CHAUTAUQUA WCA,207 FOOTE AVENUE,JAMESTOWN,NY,14701,CHAUTAUQUA,7164870141,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,"207 FOOTE AVENUE JAMESTOWN, NY (42.091237, -79.23295)"
11,FALSE,330166,111,"WESTFIELD MEMORIAL HOSPITAL, INC",189 EAST MAIN STREET,WESTFIELD,NY,14787,CHAUTAUQUA,7163264921,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"189 EAST MAIN STREET WESTFIELD, NY (42.327901, -79.569397)"
12,FALSE,330132,114,TLC NETWORK,845 ROUTES 5 AND 20,IRVING,NY,14081,CHAUTAUQUA,7169517000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,"845 ROUTES 5 AND 20 IRVING, NY (42.559416, -79.12704)"
13,FALSE,330090,116,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,6077374100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"600 ROE AVENUE ELMIRA, NY (42.099256, -76.826668)"
14,FALSE,330108,118,"ST JOSEPH'S HOSPITAL, INC",555 ST JOSEPH'S BLVD,ELMIRA,NY,14902,CHEMUNG,6077336541,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,"555 ST JOSEPH'S BLVD ELMIRA, NY (42.09136, -76.796953)"
15,FALSE,330033,128,CHENANGO MEMORIAL HOSPITAL,179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,6073374111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"179 NORTH BROAD STREET NORWICH, NY (42.542038, -75.524724)"
16,FALSE,330250,135,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,CLINTON,5185627767,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"75 BEEKMAN STREET PLATTSBURGH, NY (44.700122, -73.466647)"
17,FALSE,330094,146,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,5188287601,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"71 PROSPECT AVENUE HUDSON, NY (42.246254, -73.776128)"
18,FALSE,330175,158,"CORTLAND REGIONAL MEDICAL CENTER, INC",134 HOMER AVENUE,CORTLAND,NY,13045,CORTLAND,6077563500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"134 HOMER AVENUE CORTLAND, NY (42.608997, -76.186117)"
19,FALSE,331305,165,O'CONNOR HOSPITAL,460 ANDES ROAD,DELHI,NY,13753,DELAWARE,6077460300,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,"460 ANDES ROAD DELHI, NY (42.26687, -74.91685)"
20,FALSE,331312,174,"DELAWARE VALLEY HOSPITAL, INC",1 TITUS PLACE,WALTON,NY,13856,DELAWARE,6078652188,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,"1 TITUS PLACE WALTON, NY (42.165522, -75.128087)"
21,FALSE,330023,181,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,8454548500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"45 READE PLACE POUGHKEEPSIE, NY (41.694567, -73.935723)"
22,FALSE,330049,192,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,DUTCHESS,8458713391,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"6511 SPRINGBROOK AVENUE RHINEBECK, NY"
23,FALSE,330005,207,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,ERIE,7168598620,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"726 EXCHANGE STREET, SUITE 522 BUFFALO, NY (42.87459, -78.850067)"
24,FALSE,330219,210,ERIE COUNTY MEDICAL CENTER,462 GRIDER STREET,BUFFALO,NY,14215,ERIE,7168983936,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"462 GRIDER STREET BUFFALO, NY (42.927236, -78.829151)"
25,FALSE,330279,213,MERCY HOSPITAL OF BUFFALO,565 ABBOTT ROAD,BUFFALO,NY,14220,ERIE,7168267000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"565 ABBOTT ROAD BUFFALO, NY (42.847875, -78.811876)"
26,FALSE,330078,218,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,ERIE,7168621000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2157 MAIN STREET BUFFALO, NY (42.92917, -78.849916)"
27,FALSE,330393,245,UNIVERSITY HOSPITAL AT STONY BROOK,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Acute Care Hospitals,Government - State,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"HEALTH SCIENCES CENTER SUNY STONY BROOK, NY"
28,FALSE,330102,267,KENMORE MERCY HOSPITAL,2950 ELMWOOD AVENUE,KENMORE,NY,14217,ERIE,7164476100,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2950 ELMWOOD AVENUE KENMORE, NY (42.9779, -78.878678)"
29,FALSE,330111,280,BERTRAND CHAFFEE HOSPITAL,224 EAST MAIN STREET,SPRINGVILLE,NY,14141,ERIE,7165922871,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"224 EAST MAIN STREET SPRINGVILLE, NY (42.508484, -78.659235)"
30,FALSE,331302,303,ELIZABETHTOWN COMMUNITY HOSPITAL,75 PARK STREET,ELIZABETHTOWN,NY,12932,ESSEX,5188736377,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,"75 PARK STREET ELIZABETHTOWN, NY (44.21543, -73.596624)"
31,FALSE,330079,324,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,NY,12983,FRANKLIN,5188914141,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2233 STATE ROUTE 86 SARANAC LAKE, NY (44.344548, -74.144597)"
32,FALSE,330084,325,ALICE HYDE MEDICAL CENTER,133 PARK STREET,MALONE,NY,12953,FRANKLIN,5184833000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"133 PARK STREET MALONE, NY (44.856658, -74.29193)"
33,FALSE,330276,330,NATHAN LITTAUER HOSPITAL,99 EAST STATE STREET,GLOVERSVILLE,NY,12078,FULTON,5187258621,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"99 EAST STATE STREET GLOVERSVILLE, NY (43.068029, -74.330817)"
34,FALSE,330073,339,UNITED MEMORIAL MEDICAL CENTER,127 NORTH STREET,BATAVIA,NY,14020,GENESEE,5853436030,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"127 NORTH STREET BATAVIA, NY (43.003997, -78.177592)"
35,FALSE,331311,362,LITTLE FALLS HOSPITAL,140 BURWELL STREET,LITTLE FALLS,NY,13365,HERKIMER,3158235261,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,"140 BURWELL STREET LITTLE FALLS, NY (43.043946, -74.847733)"
36,FALSE,330157,367,SAMARITAN MEDICAL CENTER,830 WASHINGTON STREET,WATERTOWN,NY,13601,JEFFERSON,3157854121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"830 WASHINGTON STREET WATERTOWN, NY (43.96489, -75.912761)"
37,FALSE,331309,377,"RIVER HOSPITAL, INC",4 FULLER STREET,ALEXANDRIA BAY,NY,13607,JEFFERSON,3154822511,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"4 FULLER STREET ALEXANDRIA BAY, NY (44.337217, -75.920022)"
38,FALSE,331318,379,"CARTHAGE AREA HOSPITAL, INC",1001 WEST STREET,CARTHAGE,NY,13619,JEFFERSON,3154931000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1001 WEST STREET CARTHAGE, NY (43.986162, -75.594861)"
39,FALSE,331317,383,LEWIS COUNTY GENERAL HOSPITAL,7785 NORTH STATE STREET,LOWVILLE,NY,13367,LEWIS,3153765200,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"7785 NORTH STATE STREET LOWVILLE, NY (43.795771, -75.49812)"
40,FALSE,330238,393,NICHOLAS H NOYES MEMORIAL HOSPITAL,111  CLARA BARTON STREET,DANSVILLE,NY,14437,LIVINGSTON,5853356001,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"111 CLARA BARTON STREET DANSVILLE, NY (42.55213, -77.700356)"
41,FALSE,330115,397,ONEIDA HEALTHCARE,321 GENESEE STREET,ONEIDA,NY,13421,MADISON,3153636000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"321 GENESEE STREET ONEIDA, NY (43.078755, -75.654264)"
42,FALSE,331316,401,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,3158241100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"150 BROAD STREET HAMILTON, NY (42.813906, -75.541908)"
43,FALSE,330164,409,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,ROCHESTER,NY,14620,MONROE,5854732200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1000 SOUTH AVENUE ROCHESTER, NY (43.135955, -77.607556)"
44,FALSE,330125,411,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,MONROE,5859224000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1425 PORTLAND AVENUE ROCHESTER, NY (43.192542, -77.584424)"
45,FALSE,330285,413,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,NY,14642,MONROE,5852752121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"601 ELMWOOD AVE ROCHESTER, NY (43.124394, -77.623692)"
46,FALSE,330403,414,MONROE COMMUNITY HOSPITAL,435 EAST HENRIETTA ROAD,ROCHESTER,NY,14620,MONROE,5857606500,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"435 EAST HENRIETTA ROAD ROCHESTER, NY (43.111856, -77.616078)"
47,FALSE,330226,471,UNITY HOSPITAL OF ROCHESTER,1555 LONG POND ROAD,ROCHESTER,NY,14626,MONROE,5857237000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"1555 LONG POND ROAD ROCHESTER, NY (43.191527, -77.701464)"
48,FALSE,330047,484,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,5188417101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"427 GUY PARK AVENUE AMSTERDAM, NY (42.953648, -74.216041)"
49,FALSE,330181,490,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"101 ST ANDREWS LANE GLEN COVE, NY"
50,FALSE,330167,511,NYU WINTHROP HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NASSAU,5166630333,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"259 FIRST STREET MINEOLA, NY (40.74167, -73.64344)"
51,FALSE,330259,513,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NASSAU,5167052525,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1000 NORTH VILLAGE AVENUE ROCKVILLE CENTRE, NY (40.688191, -73.633236)"
52,FALSE,330198,527,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,5166323000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE HEALTHY WAY OCEANSIDE, NY"
53,FALSE,330027,528,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,5165720123,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"2201 HEMPSTEAD TURNPIKE EAST MEADOW, NY (40.725298, -73.554413)"
54,FALSE,330106,541,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,5165620100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"300 COMMUNITY DRIVE MANHASSET, NY (40.779269, -73.703029)"
55,FALSE,330332,551,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NASSAU,5165796000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"4295 HEMPSTEAD TURNPIKE BETHPAGE, NY (40.725795, -73.478755)"
56,FALSE,330331,552,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NASSAU,5167193000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"888 OLD COUNTRY ROAD PLAINVIEW, NY (40.774456, -73.478063)"
57,FALSE,330182,563,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,5165626000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"100 PORT WASHINGTON BOULEVARD ROSLYN, NY (40.804505, -73.672669)"
