,in_nyc,Provider ID,fac_id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
58,FALSE,330163,565,EASTERN NIAGARA HOSPITAL,521 EAST AVENUE,LOCKPORT,NY,14094,NIAGARA,7165145700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,"521 EAST AVENUE LOCKPORT, NY (43.17638, -78.671075)"
59,FALSE,330065,574,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,NIAGARA,7162784000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"621 TENTH STREET NIAGARA FALLS, NY (43.093433, -79.050429)"
60,FALSE,330188,583,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,5300 MILITARY ROAD,LEWISTON,NY,14092,NIAGARA,7162974800,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"5300 MILITARY ROAD LEWISTON, NY (43.154652, -79.030462)"
61,FALSE,330215,589,"ROME MEMORIAL HOSPITAL, INC",1500 NORTH JAMES STREET,ROME,NY,13440,ONEIDA,3153387000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,"1500 NORTH JAMES STREET ROME, NY (43.228954, -75.444248)"
62,FALSE,330245,598,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,ONEIDA,3157988100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2209 GENESEE STREET UTICA, NY (43.083646, -75.267158)"
63,FALSE,330044,599,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,ONEIDA,3157986000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1656 CHAMPLIN AVENUE UTICA, NY (43.095687, -75.274291)"
64,FALSE,330140,630,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,ONONDAGA,3154485111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"301 PROSPECT AVENUE SYRACUSE, NY (43.055589, -76.149176)"
65,FALSE,330241,635,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,750 EAST ADAMS STREET,SYRACUSE,NY,13210,ONONDAGA,3154734240,Acute Care Hospitals,Government - State,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"750 EAST ADAMS STREET SYRACUSE, NY (43.042677, -76.139323)"
66,FALSE,330203,636,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,3154707449,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"736 IRVING AVENUE SYRACUSE, NY (43.041666, -76.137853)"
67,FALSE,330058,671,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,3157874175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"196 -198 NORTH STREET GENEVA, NY"
68,FALSE,330265,676,CLIFTON SPRINGS HOSPITAL AND CLINIC,2 COULTER ROAD,CLIFTON SPRINGS,NY,14432,ONTARIO,3154629561,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2 COULTER ROAD CLIFTON SPRINGS, NY (42.960473, -77.139252)"
69,FALSE,330074,678,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,NY,14424,ONTARIO,5853966000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"350 PARRISH STREET CANANDAIGUA, NY (42.875591, -77.288198)"
70,FALSE,330264,694,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,ORANGE,8455614400,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"70 DUBOIS STREET NEWBURGH, NY (41.503744, -74.015176)"
71,FALSE,330126,699,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,ORANGE,8453432424,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"707 EAST MAIN STREET MIDDLETOWN, NY (41.439962, -74.369415)"
72,FALSE,330205,704,ST ANTHONY COMMUNITY HOSPITAL,15 MAPLE AVENUE -19,WARWICK,NY,10990,ORANGE,8459862276,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"15 MAPLE AVENUE -19 WARWICK, NY (41.261094, -74.356945)"
73,FALSE,330135,708,BON SECOURS COMMUNITY HOSPITAL,160 EAST MAIN STREET,PORT JERVIS,NY,12771,ORANGE,8458565351,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"160 EAST MAIN STREET PORT JERVIS, NY (41.367766, -74.682593)"
74,FALSE,331319,718,MEDINA MEMORIAL HOSPITAL,200 OHIO STREET,MEDINA,NY,14103,ORLEANS,5857988111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"200 OHIO STREET MEDINA, NY (43.223707, -78.397073)"
75,FALSE,330218,727,OSWEGO HOSPITAL,110 WEST SIXTH STREET,OSWEGO,NY,13126,OSWEGO,3153495511,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"110 WEST SIXTH STREET OSWEGO, NY (43.454141, -76.516001)"
76,FALSE,330085,739,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,6074322000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE NORTON AVENUE ONEONTA, NY"
77,FALSE,330136,746,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,6075473456,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"ONE ATWELL ROAD COOPERSTOWN, NY"
78,FALSE,330273,752,PUTNAM HOSPITAL CENTER,670 STONELEIGH AVENUE,CARMEL,NY,10512,PUTNAM,9142795711,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"670 STONELEIGH AVENUE CARMEL, NY (41.384844, -73.664475)"
79,FALSE,330232,755,ST MARY'S HOSPITAL ( TROY ),1300 MASSACHUSETTS AVENUE,TROY,NY,12180,RENSSELAER,5182685000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1300 MASSACHUSETTS AVENUE TROY, NY (42.743977, -73.676415)"
80,FALSE,330180,756,SAMARITAN HOSPITAL,2215 BURDETT AVENUE,TROY,NY,12180,RENSSELAER,5184273402,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2215 BURDETT AVENUE TROY, NY (42.733395, -73.671434)"
81,FALSE,330405,775,HELEN HAYES HOSPITAL,51 NORTH ROUTE 9W,WEST HAVERSTRAW,NY,10993,ROCKLAND,8457864000,Acute Care Hospitals,Government - Local,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"51 NORTH ROUTE 9W WEST HAVERSTRAW, NY (41.212779, -73.985768)"
82,FALSE,330104,776,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,8453482000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"160 NORTH MIDLAND AVENUE NYACK, NY (41.095251, -73.925253)"
83,FALSE,330158,779,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,ROCKLAND,9143685000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"255 LAFAYETTE AVENUE SUFFERN, NY (41.112389, -74.136248)"
84,FALSE,330211,798,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,OGDENSBURG,NY,13669,ST. LAWRENCE,3153933600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"214 KING STREET OGDENSBURG, NY (44.692091, -75.499934)"
85,FALSE,330223,804,MASSENA MEMORIAL HOSPITAL,1 HOSPITAL DRIVE,MASSENA,NY,13662,ST. LAWRENCE,3157641711,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1 HOSPITAL DRIVE MASSENA, NY (44.936344, -74.907828)"
86,FALSE,331315,812,GOUVERNEUR HOSPITAL,77 WEST BARNEY STREET,GOUVERNEUR,NY,13642,ST. LAWRENCE,3152871000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"77 WEST BARNEY STREET GOUVERNEUR, NY (44.338275, -75.474371)"
87,FALSE,330197,815,CANTON-POTSDAM HOSPITAL,50 LEROY STREET,POTSDAM,NY,13676,ST. LAWRENCE,3152653300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"50 LEROY STREET POTSDAM, NY (44.676085, -74.981451)"
88,FALSE,330222,818,SARATOGA HOSPITAL,211 CHURCH STREET,SARATOGA SPRINGS,NY,12866,SARATOGA,5185873222,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"211 CHURCH STREET SARATOGA SPRINGS, NY (43.084794, -73.796223)"
89,FALSE,330153,829,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,SCHENECTADY,5182434000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,"1101 NOTT STREET SCHENECTADY, NY (42.819818, -73.918883)"
90,FALSE,330406,831,SUNNYVIEW HOSPITAL AND REHABILITATION CENTER,1270 BELMONT AVENUE,SCHENECTADY,NY,12308,SCHENECTADY,5183863580,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1270 BELMONT AVENUE SCHENECTADY, NY (42.822229, -73.91386)"
91,FALSE,331313,858,"SCHUYLER HOSPITAL, INC",220 STEUBEN STREET,MONTOUR FALLS,NY,14865,SCHUYLER,6075307121,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"220 STEUBEN STREET MONTOUR FALLS, NY (42.351453, -76.858842)"
92,FALSE,330277,866,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,6079377200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1 GUTHRIE DRIVE CORNING, NY (42.136107, -76.969841)"
93,FALSE,330151,870,ST JAMES MERCY HOSPITAL,411 CANISTEO STREET,HORNELL,NY,14843,STEUBEN,6073248000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"411 CANISTEO STREET HORNELL, NY (42.314575, -77.660142)"
94,FALSE,330144,873,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",7571 STATE ROUTE 54,BATH,NY,14810,STEUBEN,6077768500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,"7571 STATE ROUTE 54 BATH, NY (42.37297, -77.278553)"
95,FALSE,330141,885,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,6316547100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"101 HOSPITAL ROAD PATCHOGUE, NY (40.779337, -72.978147)"
96,FALSE,330088,891,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,SUFFOLK,6314771000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"201 MANOR PLACE GREENPORT, NY (41.110951, -72.361459)"
97,FALSE,330185,895,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,6314731320,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"75 NORTH COUNTRY ROAD PORT JEFFERSON, NY (40.938249, -73.052951)"
98,FALSE,330246,896,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,6314746000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"200 BELLE TERRE ROAD PORT JEFFERSON, NY (40.947392, -73.059832)"
99,FALSE,330045,913,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,SUFFOLK,6313512000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"270 PARK AVENUE HUNTINGTON, NY (40.879201, -73.417488)"
100,FALSE,330043,924,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,SUFFOLK,6319683000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"301 EAST MAIN STREET BAY SHORE, NY (40.724858, -73.240889)"
101,FALSE,330286,925,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,6313763000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"1000 MONTAUK HIGHWAY WEST ISLIP, NY (40.696807, -73.286321)"
102,FALSE,330107,938,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,SUFFOLK,6315486000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1300 ROANOKE AVENUE RIVERHEAD, NY (40.933577, -72.674317)"
103,FALSE,330401,943,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,6318623000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"50 ROUTE 25A SMITHTOWN, NY (40.858321, -73.186067)"
104,FALSE,330386,971,CATSKILL REGIONAL MEDICAL CENTER,68 HARRIS BUSHVILLE ROAD,HARRIS,NY,12742,SULLIVAN,8457943300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"68 HARRIS BUSHVILLE ROAD HARRIS, NY"
105,FALSE,331303,971,CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,8081 ROUTE 97,CALLICOON,NY,12723,SULLIVAN,8458875530,Critical Access Hospitals,Government - Federal,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"8081 ROUTE 97 CALLICOON, NY"
106,FALSE,330307,977,CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DRIVE,ITHACA,NY,14850,TOMPKINS,6072744401,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"101 DATES DRIVE ITHACA, NY (42.467096, -76.538808)"
107,FALSE,330224,989,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,105 MARY'S AVENUE,KINGSTON,NY,12401,ULSTER,8453382500,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"105 MARY'S AVENUE KINGSTON, NY (41.922453, -73.999335)"
108,FALSE,330004,990,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,9143313131,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"396 BROADWAY KINGSTON, NY (41.92635, -73.995402)"
109,FALSE,331310,1002,ELLENVILLE REGIONAL HOSPITAL,10 HEALTHY WAY,ELLENVILLE,NY,12428,ULSTER,8456476400,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"10 HEALTHY WAY ELLENVILLE, NY (41.732351, -74.380624)"
110,FALSE,330191,1005,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,WARREN,5189261000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"100 PARK STREET GLENS FALLS, NY (43.308335, -73.644551)"
111,FALSE,330030,1028,NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,WAYNE,3153322022,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"111 DRIVING PARK AVENUE NEWARK, NY (43.059959, -77.100736)"
112,FALSE,330267,1039,NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,1980 CROMPOND ROAD,CORTLANDT MANOR,NY,10567,WESTCHESTER,9147343611,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1980 CROMPOND ROAD CORTLANDT MANOR, NY (41.291457, -73.893601)"
113,FALSE,330304,1045,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,WESTCHESTER,9146810600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"41 EAST POST R0AD WHITE PLAINS, NY"
114,FALSE,330086,1061,MONTEFIORE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,WESTCHESTER,9146648000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"12 NORTH 7TH AVENUE MOUNT VERNON, NY (40.912754, -73.840011)"
115,FALSE,330184,1072,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,9146325000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"16 GUION PLACE NEW ROCHELLE, NY (40.912968, -73.786997)"
116,FALSE,330006,1098,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,9143787000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"127 SOUTH BROADWAY YONKERS, NY (40.929614, -73.897003)"
