,B99132_001E,NAME,state,public use microdata area,Unnamed: 4
0,29437,"Monroe County (Central)--Greece & Gates Towns PUMA, New York",36,904,
1,26612,"Monroe County (North & West) PUMA, New York",36,905,
2,43030,"Monroe County (South) PUMA, New York",36,906,
3,22883,"Genesee & Orleans Counties PUMA, New York",36,1000,
4,23784,"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",36,1101,
5,25211,"Niagara County (North & East) PUMA, New York",36,1102,
6,26148,"Erie County (Northwest) PUMA, New York",36,1201,
7,27744,"Erie County (North Central) PUMA, New York",36,1202,
8,25164,"Erie County (Northeast) PUMA, New York",36,1203,
9,32733,"Erie County (Central) PUMA, New York",36,1204,
10,38753,"Erie County (West Central)--Buffalo City (East) PUMA, New York",36,1205,
11,31001,"Erie County (West Central)--Buffalo City (West) PUMA, New York",36,1206,
12,36610,"Erie County (South) PUMA, New York",36,1207,
13,23905,"Livingston & Wyoming Counties PUMA, New York",36,1300,
14,29860,"Ontario & Yates Counties PUMA, New York",36,1400,
15,30294,"Madison & Cortland Counties PUMA, New York",36,1500,
16,23211,"Fulton & Montgomery Counties PUMA, New York",36,1600,
17,37248,"Schenectady County--Schenectady City PUMA, New York",36,1700,
18,25638,"Saratoga County (South & Central) PUMA, New York",36,1801,
19,26488,"Saratoga County (Outer) PUMA, New York",36,1802,
20,38812,"Rensselaer County--Troy City PUMA, New York",36,1900,
21,30466,"Albany County (East Central)--Albany City PUMA, New York",36,2001,
22,46891,"Albany County (Outside Albany City) PUMA, New York",36,2002,
23,23154,"Columbia & Greene Counties PUMA, New York",36,2100,
24,31296,"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",36,2201,
25,24111,"Broome (Outer West) & Tioga Counties PUMA, New York",36,2202,
26,22510,"Chenango, Delaware & Broome (East) Counties PUMA; New York",36,2203,
27,30720,"Tompkins County PUMA, New York",36,2300,
28,22104,"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",36,2401,
29,23155,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",36,2402,
30,28638,"Cattaraugus & Allegany Counties PUMA, New York",36,2500,
31,29712,"Chautauqua County PUMA, New York",36,2600,
32,21705,"Sullivan & Ulster (West) Counties PUMA, New York",36,2701,
33,36148,"Ulster County (East) PUMA, New York",36,2702,
34,29544,"Dutchess County (North & East) PUMA, New York",36,2801,
35,42054,"Dutchess County (Southwest) PUMA, New York",36,2802,
36,28950,"Orange County (Northeast)--Greater Newburgh City PUMA, New York",36,2901,
37,29786,"Orange County (Northwest) PUMA, New York",36,2902,
38,31150,"Orange County (Southeast) PUMA, New York",36,2903,
39,25255,"Rockland County (North)--New City & Congers PUMA, New York",36,3001,
40,23233,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",36,3002,
41,23210,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",36,3003,
42,23763,"Putnam County PUMA, New York",36,3101,
43,33300,"Westchester County (Northwest) PUMA, New York",36,3102,
44,29824,"Westchester County (Northeast) PUMA, New York",36,3103,
45,28269,"Westchester County (Southeast) PUMA, New York",36,3104,
46,38613,"Westchester County (Central)--White Plains City PUMA, New York",36,3105,
47,50573,"Westchester County (Southwest)--Yonkers City PUMA, New York",36,3106,
48,47418,"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",36,3107,
49,22881,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",36,3201,
50,24734,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",36,3202,
51,22121,"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",36,3203,
52,26903,"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",36,3204,
53,26732,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",36,3205,
54,40745,"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",36,3206,
55,29027,"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",36,3207,
56,25831,"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",36,3208,
57,21828,"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",36,3209,
58,22826,"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",36,3210,
59,25262,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",36,3211,
60,23703,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",36,3212,
61,22931,"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",36,3301,
62,23079,"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",36,3302,
63,24233,"Suffolk County (Northwest)--Smithtown Town PUMA, New York",36,3303,
64,29077,"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",36,3304,
65,25046,"Suffolk County (East) PUMA, New York",36,3305,
66,31144,"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",36,3306,
67,33727,"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",36,3307,
68,28867,"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",36,3308,
69,23845,"Suffolk County (Central)--Islip Town (East) PUMA, New York",36,3309,
70,37011,"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",36,3310,
71,25231,"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",36,3311,
72,26235,"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",36,3312,
73,27074,"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",36,3313,
74,25157,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",36,3701,
75,40462,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",36,3702,
76,27176,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",36,3703,
77,34415,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",36,3704,
78,48006,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",36,3705,
79,39047,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",36,3706,
80,37643,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",36,3707,
81,41028,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",36,3708,
82,47831,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",36,3709,
83,43001,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",36,3710,
84,60111,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",36,3801,
85,43271,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",36,3802,
86,40398,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",36,3803,
87,33263,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",36,3804,
88,64322,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",36,3805,
89,48466,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",36,3806,
90,43325,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",36,3807,
91,48431,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",36,3808,
92,51087,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",36,3809,
93,48436,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",36,3810,
94,38238,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",36,3901,
95,32339,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",36,3902,
96,45129,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",36,3903,
97,43767,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",36,4001,
98,41646,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",36,4002,
99,38262,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",36,4003,
100,42409,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",36,4004,
101,34164,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",36,4005,
102,36330,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",36,4006,
103,40274,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",36,4007,
104,44699,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",36,4008,
105,53563,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",36,4009,
106,40408,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",36,4010,
107,28513,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",36,4011,
108,41787,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",36,4012,
109,33616,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",36,4013,
110,36622,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",36,4014,
111,39500,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",36,4015,
112,35896,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",36,4016,
113,49507,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",36,4017,
114,22759,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",36,4018,
115,50060,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",36,4101,
116,45382,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",36,4102,
117,59981,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36,4103,
118,30277,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",36,4104,
119,51930,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",36,4105,
120,41266,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",36,4106,
121,35671,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36,4107,
122,28554,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",36,4108,
123,40782,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",36,4109,
124,41749,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",36,4110,
125,40349,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",36,4111,
126,62915,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",36,4112,
127,35570,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36,4113,
128,30877,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",36,4114,
129,26100,"St. Lawrence County PUMA, New York",36,100,
130,39458,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",36,200,
131,27244,"Warren & Washington Counties PUMA, New York",36,300,
132,27012,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",36,401,
133,35748,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",36,402,
134,26856,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",36,403,
135,34149,"Jefferson & Lewis Counties PUMA, New York",36,500,
136,29361,"Oswego County PUMA, New York",36,600,
137,40255,"Onondaga County (Central)--Syracuse City PUMA, New York",36,701,
138,29274,"Onondaga County (North) PUMA, New York",36,702,
139,37586,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",36,703,
140,24531,"Cayuga & Onondaga (South) Counties PUMA, New York",36,704,
141,28198,"Wayne & Seneca Counties PUMA, New York",36,800,
142,28926,"Monroe County (East) PUMA, New York",36,901,
143,29708,"Monroe County (Central)--Rochester City (East) PUMA, New York",36,902,
144,27104,"Monroe County (Central)--Rochester City (West) PUMA, New York",36,903,
