,B00001_001E,NAME,state,public use microdata area,Unnamed: 4
0,3244,"St. Lawrence County PUMA, New York",36,100,
1,5017,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",36,200,
2,3173,"Warren & Washington Counties PUMA, New York",36,300,
3,3319,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",36,401,
4,3205,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",36,402,
5,4097,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",36,403,
6,4412,"Jefferson & Lewis Counties PUMA, New York",36,500,
7,2774,"Oswego County PUMA, New York",36,600,
8,3238,"Onondaga County (Central)--Syracuse City PUMA, New York",36,701,
9,2165,"Onondaga County (North) PUMA, New York",36,702,
10,3234,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",36,703,
11,3432,"Cayuga & Onondaga (South) Counties PUMA, New York",36,704,
12,3306,"Wayne & Seneca Counties PUMA, New York",36,800,
13,2074,"Monroe County (East) PUMA, New York",36,901,
14,2187,"Monroe County (Central)--Rochester City (East) PUMA, New York",36,902,
15,1882,"Monroe County (Central)--Rochester City (West) PUMA, New York",36,903,
16,1873,"Monroe County (Central)--Greece & Gates Towns PUMA, New York",36,904,
17,1711,"Monroe County (North & West) PUMA, New York",36,905,
18,2766,"Monroe County (South) PUMA, New York",36,906,
19,2728,"Genesee & Orleans Counties PUMA, New York",36,1000,
20,1853,"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",36,1101,
21,1980,"Niagara County (North & East) PUMA, New York",36,1102,
22,1595,"Erie County (Northwest) PUMA, New York",36,1201,
23,1909,"Erie County (North Central) PUMA, New York",36,1202,
24,1776,"Erie County (Northeast) PUMA, New York",36,1203,
25,2826,"Erie County (Central) PUMA, New York",36,1204,
26,2435,"Erie County (West Central)--Buffalo City (East) PUMA, New York",36,1205,
27,1835,"Erie County (West Central)--Buffalo City (West) PUMA, New York",36,1206,
28,3088,"Erie County (South) PUMA, New York",36,1207,
29,3094,"Livingston & Wyoming Counties PUMA, New York",36,1300,
30,3184,"Ontario & Yates Counties PUMA, New York",36,1400,
31,3312,"Madison & Cortland Counties PUMA, New York",36,1500,
32,2721,"Fulton & Montgomery Counties PUMA, New York",36,1600,
33,2706,"Schenectady County--Schenectady City PUMA, New York",36,1700,
34,1588,"Saratoga County (South & Central) PUMA, New York",36,1801,
35,2287,"Saratoga County (Outer) PUMA, New York",36,1802,
36,3111,"Rensselaer County--Troy City PUMA, New York",36,1900,
37,1564,"Albany County (East Central)--Albany City PUMA, New York",36,2001,
38,3436,"Albany County (Outside Albany City) PUMA, New York",36,2002,
39,2526,"Columbia & Greene Counties PUMA, New York",36,2100,
40,2306,"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",36,2201,
41,2362,"Broome (Outer West) & Tioga Counties PUMA, New York",36,2202,
42,3298,"Chenango, Delaware & Broome (East) Counties PUMA; New York",36,2203,
43,1923,"Tompkins County PUMA, New York",36,2300,
44,2039,"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",36,2401,
45,3814,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",36,2402,
46,5308,"Cattaraugus & Allegany Counties PUMA, New York",36,2500,
47,3509,"Chautauqua County PUMA, New York",36,2600,
48,2391,"Sullivan & Ulster (West) Counties PUMA, New York",36,2701,
49,2638,"Ulster County (East) PUMA, New York",36,2702,
50,2761,"Dutchess County (North & East) PUMA, New York",36,2801,
51,2900,"Dutchess County (Southwest) PUMA, New York",36,2802,
52,1867,"Orange County (Northeast)--Greater Newburgh City PUMA, New York",36,2901,
53,2206,"Orange County (Northwest) PUMA, New York",36,2902,
54,2475,"Orange County (Southeast) PUMA, New York",36,2903,
55,1778,"Rockland County (North)--New City & Congers PUMA, New York",36,3001,
56,1718,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",36,3002,
57,2207,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",36,3003,
58,1778,"Putnam County PUMA, New York",36,3101,
59,2527,"Westchester County (Northwest) PUMA, New York",36,3102,
60,2251,"Westchester County (Northeast) PUMA, New York",36,3103,
61,1716,"Westchester County (Southeast) PUMA, New York",36,3104,
62,2765,"Westchester County (Central)--White Plains City PUMA, New York",36,3105,
63,2814,"Westchester County (Southwest)--Yonkers City PUMA, New York",36,3106,
64,3046,"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",36,3107,
65,2714,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",36,3201,
66,2516,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",36,3202,
67,1750,"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",36,3203,
68,2123,"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",36,3204,
69,1954,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",36,3205,
70,2274,"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",36,3206,
71,1838,"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",36,3207,
72,2047,"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",36,3208,
73,1648,"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",36,3209,
74,1669,"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",36,3210,
75,1615,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",36,3211,
76,1638,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",36,3212,
77,1923,"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",36,3301,
78,1698,"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",36,3302,
79,2270,"Suffolk County (Northwest)--Smithtown Town PUMA, New York",36,3303,
80,2140,"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",36,3304,
81,2395,"Suffolk County (East) PUMA, New York",36,3305,
82,1876,"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",36,3306,
83,1565,"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",36,3307,
84,1944,"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",36,3308,
85,1734,"Suffolk County (Central)--Islip Town (East) PUMA, New York",36,3309,
86,1926,"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",36,3310,
87,1753,"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",36,3311,
88,1667,"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",36,3312,
89,1788,"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",36,3313,
90,1572,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",36,3701,
91,2203,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",36,3702,
92,1371,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",36,3703,
93,2186,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",36,3704,
94,2341,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",36,3705,
95,1404,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",36,3706,
96,1794,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",36,3707,
97,1601,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",36,3708,
98,2389,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",36,3709,
99,2366,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",36,3710,
100,1990,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",36,3801,
101,1429,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",36,3802,
102,1553,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",36,3803,
103,1444,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",36,3804,
104,1875,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",36,3805,
105,1533,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",36,3806,
106,1594,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",36,3807,
107,1204,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",36,3808,
108,1879,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",36,3809,
109,1697,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",36,3810,
110,2249,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",36,3901,
111,1983,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",36,3902,
112,2788,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",36,3903,
113,2439,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",36,4001,
114,1961,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",36,4002,
115,2070,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",36,4003,
116,2268,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",36,4004,
117,1856,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",36,4005,
118,1766,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",36,4006,
119,1861,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",36,4007,
120,2589,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",36,4008,
121,4229,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",36,4009,
122,2344,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",36,4010,
123,1495,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",36,4011,
124,2424,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",36,4012,
125,2576,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",36,4013,
126,3282,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",36,4014,
127,2486,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",36,4015,
128,2837,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",36,4016,
129,3480,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",36,4017,
130,1503,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",36,4018,
131,2954,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",36,4101,
132,2306,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",36,4102,
133,3752,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36,4103,
134,2275,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",36,4104,
135,3697,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",36,4105,
136,2294,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",36,4106,
137,1698,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36,4107,
138,1699,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",36,4108,
139,1945,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",36,4109,
140,3183,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",36,4110,
141,3163,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",36,4111,
142,4310,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",36,4112,
143,2290,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36,4113,
144,1646,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",36,4114,
