,C27002_001E,NAME,state,public use microdata area,Unnamed: 4
0,124474,"Monroe County (Central)--Greece & Gates Towns PUMA, New York",36,904,
1,104675,"Monroe County (North & West) PUMA, New York",36,905,
2,172715,"Monroe County (South) PUMA, New York",36,906,
3,98704,"Genesee & Orleans Counties PUMA, New York",36,1000,
4,106334,"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",36,1101,
5,106631,"Niagara County (North & East) PUMA, New York",36,1102,
6,106942,"Erie County (Northwest) PUMA, New York",36,1201,
7,121857,"Erie County (North Central) PUMA, New York",36,1202,
8,108258,"Erie County (Northeast) PUMA, New York",36,1203,
9,148889,"Erie County (Central) PUMA, New York",36,1204,
10,142416,"Erie County (West Central)--Buffalo City (East) PUMA, New York",36,1205,
11,114710,"Erie County (West Central)--Buffalo City (West) PUMA, New York",36,1206,
12,164030,"Erie County (South) PUMA, New York",36,1207,
13,100381,"Livingston & Wyoming Counties PUMA, New York",36,1300,
14,132412,"Ontario & Yates Counties PUMA, New York",36,1400,
15,120783,"Madison & Cortland Counties PUMA, New York",36,1500,
16,103134,"Fulton & Montgomery Counties PUMA, New York",36,1600,
17,153351,"Schenectady County--Schenectady City PUMA, New York",36,1700,
18,103080,"Saratoga County (South & Central) PUMA, New York",36,1801,
19,115336,"Saratoga County (Outer) PUMA, New York",36,1802,
20,157911,"Rensselaer County--Troy City PUMA, New York",36,1900,
21,105191,"Albany County (East Central)--Albany City PUMA, New York",36,2001,
22,196790,"Albany County (Outside Albany City) PUMA, New York",36,2002,
23,106394,"Columbia & Greene Counties PUMA, New York",36,2100,
24,125030,"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",36,2201,
25,109157,"Broome (Outer West) & Tioga Counties PUMA, New York",36,2202,
26,106840,"Chenango, Delaware & Broome (East) Counties PUMA; New York",36,2203,
27,101641,"Tompkins County PUMA, New York",36,2300,
28,100487,"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",36,2401,
29,101368,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",36,2402,
30,126589,"Cattaraugus & Allegany Counties PUMA, New York",36,2500,
31,130944,"Chautauqua County PUMA, New York",36,2600,
32,104592,"Sullivan & Ulster (West) Counties PUMA, New York",36,2701,
33,147173,"Ulster County (East) PUMA, New York",36,2702,
34,125642,"Dutchess County (North & East) PUMA, New York",36,2801,
35,163878,"Dutchess County (Southwest) PUMA, New York",36,2802,
36,114749,"Orange County (Northeast)--Greater Newburgh City PUMA, New York",36,2901,
37,121060,"Orange County (Northwest) PUMA, New York",36,2902,
38,127929,"Orange County (Southeast) PUMA, New York",36,2903,
39,104542,"Rockland County (North)--New City & Congers PUMA, New York",36,3001,
40,102396,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",36,3002,
41,107823,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",36,3003,
42,101448,"Putnam County PUMA, New York",36,3101,
43,146350,"Westchester County (Northwest) PUMA, New York",36,3102,
44,133297,"Westchester County (Northeast) PUMA, New York",36,3103,
45,116565,"Westchester County (Southeast) PUMA, New York",36,3104,
46,163403,"Westchester County (Central)--White Plains City PUMA, New York",36,3105,
47,197397,"Westchester County (Southwest)--Yonkers City PUMA, New York",36,3106,
48,189966,"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",36,3107,
49,110083,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",36,3201,
50,107576,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",36,3202,
51,101842,"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",36,3203,
52,115984,"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",36,3204,
53,114320,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",36,3205,
54,148347,"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",36,3206,
55,117287,"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",36,3207,
56,111090,"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",36,3208,
57,102019,"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",36,3209,
58,105040,"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",36,3210,
59,104662,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",36,3211,
60,100845,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",36,3212,
61,101163,"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",36,3301,
62,100972,"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",36,3302,
63,116433,"Suffolk County (Northwest)--Smithtown Town PUMA, New York",36,3303,
64,121010,"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",36,3304,
65,132676,"Suffolk County (East) PUMA, New York",36,3305,
66,121060,"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",36,3306,
67,129193,"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",36,3307,
68,113888,"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",36,3308,
69,98621,"Suffolk County (Central)--Islip Town (East) PUMA, New York",36,3309,
70,133718,"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",36,3310,
71,102042,"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",36,3311,
72,98783,"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",36,3312,
73,113892,"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",36,3313,
74,101184,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",36,3701,
75,144747,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",36,3702,
76,117575,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",36,3703,
77,133035,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",36,3704,
78,166025,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",36,3705,
79,126860,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",36,3706,
80,131277,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",36,3707,
81,136309,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",36,3708,
82,178796,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",36,3709,
83,148730,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",36,3710,
84,211496,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",36,3801,
85,127505,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",36,3802,
86,137517,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",36,3803,
87,120942,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",36,3804,
88,217926,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",36,3805,
89,197729,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",36,3806,
90,140616,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",36,3807,
91,140776,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",36,3808,
92,164490,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",36,3809,
93,147760,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",36,3810,
94,162942,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",36,3901,
95,129955,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",36,3902,
96,174118,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",36,3903,
97,147093,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",36,4001,
98,143418,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",36,4002,
99,136012,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",36,4003,
100,129242,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",36,4004,
101,108625,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",36,4005,
102,119963,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",36,4006,
103,128739,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",36,4007,
104,157469,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",36,4008,
105,203747,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",36,4009,
106,140822,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",36,4010,
107,112968,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",36,4011,
108,149587,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",36,4012,
109,127148,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",36,4013,
110,162072,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",36,4014,
111,147920,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",36,4015,
112,153142,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",36,4016,
113,189192,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",36,4017,
114,100005,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",36,4018,
115,164712,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",36,4101,
116,179212,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",36,4102,
117,247347,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36,4103,
118,122528,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",36,4104,
119,196130,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",36,4105,
120,156470,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",36,4106,
121,140091,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36,4107,
122,115501,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",36,4108,
123,139888,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",36,4109,
124,163499,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",36,4110,
125,147896,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",36,4111,
126,226795,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",36,4112,
127,133096,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36,4113,
128,124457,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",36,4114,
129,108646,"St. Lawrence County PUMA, New York",36,100,
130,164146,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",36,200,
131,124801,"Warren & Washington Counties PUMA, New York",36,300,
132,119053,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",36,401,
133,153438,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",36,402,
134,110504,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",36,403,
135,134002,"Jefferson & Lewis Counties PUMA, New York",36,500,
136,120859,"Oswego County PUMA, New York",36,600,
137,140828,"Onondaga County (Central)--Syracuse City PUMA, New York",36,701,
138,124350,"Onondaga County (North) PUMA, New York",36,702,
139,159597,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",36,703,
140,112431,"Cayuga & Onondaga (South) Counties PUMA, New York",36,704,
141,124305,"Wayne & Seneca Counties PUMA, New York",36,800,
142,130997,"Monroe County (East) PUMA, New York",36,901,
143,107700,"Monroe County (Central)--Rochester City (East) PUMA, New York",36,902,
144,99765,"Monroe County (Central)--Rochester City (West) PUMA, New York",36,903,
